movie_id,user_id,rating
tttt0308379,ur0482513,9
tttttt0308379,ur2488512,7
tttttttt0308379,ur1234929,7
tttttttttt0308379,ur4888011,8
tttttttttttt0308379,ur13977076,9
tttttttttttttt0308379,ur0945066,6
tttttttttttttttt0308379,ur22654354,3
tttttttttttttttttt0308379,ur9938570,7
tttttttttttttttttttt0308379,ur3079504,6
tttttttttttttttttttttt0308379,ur0865972,10
tttttttttttttttttttttttt0308379,ur4944007,9
tttttttttttttttttttttttttt0308379,ur3109237,8
tttttttttttttttttttttttttttt0308379,ur3071695,6
tttttttttttttttttttttttttttttt0308379,ur26820801,7
tttttttttttttttttttttttttttttttt0308379,ur6201371,5
tttttttttttttttttttttttttttttttttt0308379,ur33907744,7
tttttttttttttttttttttttttttttttttttt0308379,ur67902729,7
tttttttttttttttttttttttttttttttttttttt0308379,ur58781741,7
tttttttttttttttttttttttttttttttttttttttt0308379,ur12527639,4
tttttttttttttttttttttttttttttttttttttttttt0308379,ur47246436,8
tt5628418,ur79950921,6
tttt5628418,ur8977071,9
tttttt5628418,ur24230755,5
tttttttt5628418,ur12740916,7
tttttttttt5628418,ur30637326,7
tttttttttttt5628418,ur0734864,7
tttttttttttttt5628418,ur0010198,7
tttttttttttttttt5628418,ur0508187,4
tttttttttttttttttt5628418,ur94195213,1
tttttttttttttttttttt5628418,ur0602789,6
tttttttttttttttttttttt5628418,ur41541496,7
tttttttttttttttttttttttt5628418,ur55445824,8
tttttttttttttttttttttttttt5628418,ur57571679,7
tttttttttttttttttttttttttttt5628418,ur12504925,7
tttttttttttttttttttttttttttttt5628418,ur106281160,6
tttttttttttttttttttttttttttttttt5628418,ur0029383,2
tttttttttttttttttttttttttttttttttt5628418,ur32166692,4
tttttttttttttttttttttttttttttttttttt5628418,ur33312268,6
tttttttttttttttttttttttttttttttttttttt5628418,ur58311392,1
tttttttttttttttttttttttttttttttttttttttt5628418,ur114891341,5
tttttttttttttttttttttttttttttttttttttttttt5628418,ur5405419,8
tttttttttttttttttttttttttttttttttttttttttttt5628418,ur96059183,3
tttttttttttttttttttttttttttttttttttttttttttttt5628418,ur46263348,6
tttttttttttttttttttttttttttttttttttttttttttttttt5628418,ur126705192,10
tt1985017,ur2898520,4
tttt1985017,ur77881167,4
tttttt1985017,ur2707735,8
tttttttt1985017,ur0342623,6
tttttttttt1985017,ur0806494,5
tttttttttttt1985017,ur1994077,2
tttttttttttttt1985017,ur23483288,8
tttttttttttttttt1985017,ur23018536,6
tttttttttttttttttt1985017,ur36422659,2
tttttttttttttttttttt1985017,ur15462771,3
tttttttttttttttttttttt1985017,ur34749634,2
tttttttttttttttttttttttt1985017,ur28095258,3
tttttttttttttttttttttttttt1985017,ur20682974,2
tttttttttttttttttttttttttttt1985017,ur37677124,4
tttttttttttttttttttttttttttttt1985017,ur12643360,6
tttttttttttttttttttttttttttttttt1985017,ur1285952,4
tttttttttttttttttttttttttttttttttt1985017,ur22779251,9
tttttttttttttttttttttttttttttttttttt1985017,ur33628562,7
tttttttttttttttttttttttttttttttttttttt1985017,ur3586088,7
tttttttttttttttttttttttttttttttttttttttt1985017,ur11783229,9
tttttttttttttttttttttttttttttttttttttttttt1985017,ur41999097,1
tttttttttttttttttttttttttttttttttttttttttttt1985017,ur20197722,7
tt5612742,ur36357573,5
tttt5612742,ur4409266,5
tttttt5612742,ur43949288,3
tttttttt5612742,ur113506463,6
tttttttttt5612742,ur47006221,2
tttttttttttt5612742,ur93064197,2
tttttttttttttt5612742,ur54724846,5
tttttttttttttttt5612742,ur24562578,5
tttttttttttttttttt5612742,ur15297637,8
tttttttttttttttttttt5612742,ur20411793,1
tttttttttttttttttttttt5612742,ur7046614,2
tttttttttttttttttttttttt5612742,ur32818142,2
tttttttttttttttttttttttttt5612742,ur61588392,1
tttttttttttttttttttttttttttt5612742,ur97285464,1
tttttttttttttttttttttttttttttt5612742,ur69468252,7
tttttttttttttttttttttttttttttttt5612742,ur91148709,4
tttttttttttttttttttttttttttttttttt5612742,ur3731375,1
tttttttttttttttttttttttttttttttttttt5612742,ur69549604,1
tttttttttttttttttttttttttttttttttttttt5612742,ur71344321,1
tttttttttttttttttttttttttttttttttttttttt5612742,ur77868339,1
tttttttttttttttttttttttttttttttttttttttttt5612742,ur79413845,8
tttttttttttttttttttttttttttttttttttttttttttt5612742,ur41784398,5
tttttttttttttttttttttttttttttttttttttttttttttt5612742,ur54242808,1
tttttttttttttttttttttttttttttttttttttttttttttttt5612742,ur103517826,1
tttttttttttttttttttttttttttttttttttttttttttttttttt5612742,ur78777618,6
tt0463345,ur5291991,10
tttt0463345,ur3223254,8
tttttt0463345,ur0495697,8
tttttttt0463345,ur1004378,4
tttttttttt0463345,ur0384847,4
tttttttttttt0463345,ur48560127,5
tttttttttttttt0463345,ur2188681,7
tttttttttttttttt0463345,ur13216814,9
tttttttttttttttttt0463345,ur4259560,4
tttttttttttttttttttt0463345,ur12188166,3
tttttttttttttttttttttt0463345,ur101210073,7
tttttttttttttttttttttttt0463345,ur15215952,9
tttttttttttttttttttttttttt0463345,ur3035180,8
tttttttttttttttttttttttttttt0463345,ur5414802,10
tttttttttttttttttttttttttttttt0463345,ur28499969,5
tttttttttttttttttttttttttttttttt0463345,ur2997688,8
tttttttttttttttttttttttttttttttttt0463345,ur15068002,2
tttttttttttttttttttttttttttttttttttt0463345,ur12058466,5
tttttttttttttttttttttttttttttttttttttt0463345,ur5221750,4
tttttttttttttttttttttttttttttttttttttttt0463345,ur6652740,10
tttttttttttttttttttttttttttttttttttttttttt0463345,ur7973989,10
tt0995829,ur2488512,7
tttt0995829,ur0819382,8
tttttt0995829,ur22654354,5
tttttttt0995829,ur2567136,8
tttttttttt0995829,ur2171244,9
tttttttttttt0995829,ur3223254,10
tttttttttttttt0995829,ur0855231,7
tttttttttttttttt0995829,ur0491610,10
tttttttttttttttttt0995829,ur3902771,9
tttttttttttttttttttt0995829,ur5156288,9
tttttttttttttttttttttt0995829,ur124755452,5
tttttttttttttttttttttttt0995829,ur11489906,8
tttttttttttttttttttttttttt0995829,ur5512905,9
tttttttttttttttttttttttttttt0995829,ur1792594,7
tttttttttttttttttttttttttttttt0995829,ur3376333,8
tttttttttttttttttttttttttttttttt0995829,ur10340026,8
tttttttttttttttttttttttttttttttttt0995829,ur77998511,7
tttttttttttttttttttttttttttttttttttt0995829,ur81972572,7
