movie_id,genre
0395495,"Comedy, Drama, Romance"
13016388,"Adventure, Drama, Fantasy"
0112760,"Action, Adventure, Comedy"
0104073,"Action, Crime, Thriller"
1278340,"Comedy, Fantasy, Horror"
0120185,"Comedy, Family, Music"
12693148,"Crime, Drama, Mystery"
0058800,"Comedy, Western"
0313122,Drama
0069945,"Comedy, Sci-Fi"
2366608,"Drama, Fantasy, Mystery"
4056738,Drama
0098519,"Adventure, Comedy"
0036241,Western
0859635,"Comedy, Crime, Mystery"
15201944,"Comedy, Drama"
4938084,Drama
0098765,"Crime, Drama, Mystery"
7630836,"Drama, Family, Romance"
0105459,"Action, Crime, Horror"
3807900,"Action, Adventure"
0935075,Drama
4682708,"Drama, Fantasy, Horror"
0057742,"Adventure, Western"
11295974,Drama
0079449,"Drama, Romance"
0135659,"Drama, Fantasy, Horror"
0367631,"Action, Comedy, Romance"
6445414,"History, Sport, Thriller"
8655736,Drama
1151915,"Comedy, Drama, Romance"
0345551,"Comedy, Drama, Romance"
14826022,Comedy
3531202,"Action, Drama, History"
0034274,Comedy
6905696,"Action, Comedy, Fantasy"
0041716,"Comedy, Musical, Romance"
12302540,"Drama, Fantasy, Romance"
0372824,"Comedy, Drama, Music"
0038559,"Drama, Film-Noir, Romance"
0346847,"Crime, Drama, Mystery"
0074899,"Action, Drama, History"
0200339,"Family, Game-Show"
8521736,"Adventure, Comedy, Family"
2328813,"Drama, Sci-Fi"
0050086,"Drama, Thriller, Western"
1196204,"Comedy, Drama"
0065225,"Action, Adventure, Comedy"
10592866,"Comedy, Drama"
13344860,"Comedy, Drama, Music"
3547306,"Action, Crime, Drama"
1422136,"Action, Adventure, Crime"
1126618,"Comedy, Drama, Romance"
0086817,"Animation, Action, Adventure"
2955096,"Comedy, Drama, Family"
0286751,"Horror, Mystery, Sci-Fi"
0107091,"Comedy, Drama, Fantasy"
6018306,"Comedy, Drama, War"
13119450,"Action, Adventure, Drama"
0371257,"Drama, Mystery, Thriller"
0051773,"Comedy, Romance"
0088634,"Drama, Fantasy, Horror"
0292800,"Animation, Adventure, Comedy"
5171176,"Comedy, Family, Fantasy"
8792866,"Comedy, Family, Sci-Fi"
0076868,"Biography, Drama"
2069441,"Animation, Action, Drama"
5534434,"Action, Comedy, Horror"
4531728,Drama
14035292,"Documentary, Biography, History"
0108451,"Drama, Romance"
14412366,Action
0076749,"Drama, Romance"
0087365,"Adventure, Drama"
1562872,"Comedy, Drama"
0056585,"Comedy, Musical, Romance"
2234003,"Drama, Mystery"
1747958,"Action, Crime, Drama"
13635348,"Animation, Action, Adventure"
0085542,"Animation, Fantasy, Adventure"
0059592,"Crime, Drama, Romance"
9308682,"Animation, Action, Drama"
0377107,"Drama, Mystery"
0185133,"Animation, Action, Adventure"
13160360,"Action, Horror, Sci-Fi"
5766086,"Adventure, Drama, History"
0042895,"Romance, Western"
0485985,"Action, Drama, History"
8972256,"Comedy, Drama"
0107756,"Biography, Drama, Fantasy"
4208432,"Drama, Thriller"
3729898,"Crime, Drama, Mystery"
0422093,"Comedy, Drama, Romance"
1540125,"Action, Adventure, Sci-Fi"
0765120,"Drama, Romance"
0053534,Adventure
1095217,"Crime, Drama"
0075513,"Family, Mystery"
0084445,"Drama, Musical, Romance"
15101956,"Documentary, Crime, Sport"
0268995,"Drama, Romance"
0170691,"Drama, War"
0244000,"Action, Western"
2008491,"Comedy, Romance"
4231140,"Biography, Drama, History"
0171433,"Comedy, Drama, Romance"
0073705,"Horror, Sci-Fi"
7741824,"Animation, Adventure, Comedy"
14344936,"Animation, Short, Fantasy"
9028802,"Drama, Romance"
8767908,"Drama, Romance"
0081834,"Drama, Thriller, War"
0046617,"Adventure, Drama, Family"
0184111,"Animation, Comedy, Family"
1181614,"Drama, Romance"
1837703,"Biography, Crime, Drama"
14865290,"Documentary, Crime, Mystery"
10431290,"Animation, Action, Adventure"
2364841,"Crime, Thriller"
9621284,"Comedy, Drama"
8130968,"Crime, Drama, Mystery"
0066279,"Drama, Family"
1839596,"Drama, Music, Romance"
0075640,Drama
1680045,"Drama, Thriller"
0067277,"Drama, War"
0116329,"Adventure, Drama, Family"
0149624,"Drama, Romance, Western"
7468056,"Action, Crime, Thriller"
8038720,"Action, Crime, Drama"
4428762,"Biography, Drama, Romance"
0139462,"Drama, Romance"
8199972,"Action, Comedy, History"
12877642,"Drama, Romance"
0087385,Comedy
0106332,"Drama, Music, Romance"
0084945,"Comedy, Fantasy, Sci-Fi"
1764413,Drama
0069280,"Comedy, Drama, Sci-Fi"
7743120,"Comedy, Drama"
0081857,News
4800878,"Action, Crime, Drama"
4991384,"Crime, Drama, Thriller"
2708782,Drama
1112782,"Action, Crime, Thriller"
0094510,Drama
15123120,Documentary
0057345,"Drama, Romance"
0102719,"Comedy, Family"
3540136,"Action, Crime, Thriller"
0088255,"Crime, Horror, Thriller"
3699508,"Action, Drama, War"
0070215,"Comedy, Western"
0422401,"Comedy, Horror, Thriller"
0118836,Comedy
12448082,"Drama, Horror"
2473682,"Horror, Mystery"
7985692,Drama
1129398,"Crime, Drama, Thriller"
6075088,"Adventure, Comedy, Crime"
4429160,"Animation, Action, Adventure"
13535456,Romance
0306274,"Animation, Adventure, Comedy"
10364034,"Animation, Action, Adventure"
11127412,"Comedy, Drama"
0830361,"Action, Fantasy, Mystery"
9028880,Romance
0088898,Comedy
8045468,"Comedy, Romance, Thriller"
0112015,Comedy
0078239,"Adventure, Comedy, Fantasy"
7622902,"Comedy, Drama"
2017020,"Animation, Adventure, Comedy"
1182350,"Comedy, Drama, Romance"
0134269,"Action, Comedy, Crime"
0114720,"Action, Comedy, Horror"
0318761,"Comedy, Drama"
7895824,"Short, Comedy"
0830900,"Drama, Fantasy"
0053559,"Horror, Mystery"
2094761,"Animation, Family, Fantasy"
0103435,"Comedy, Family, Sport"
0089110,"Adventure, Family, Fantasy"
4571004,"Crime, Drama, Mystery"
0132245,"Action, Drama, Sport"
0063415,Comedy
0066049,"Adventure, Drama, Western"
0316465,"Biography, Drama, Sport"
10556320,Horror
0091497,"Crime, Drama, Romance"
0320244,"Biography, Crime, Drama"
0107711,"Action, Drama, Romance"
0107969,"Action, Crime, Drama"
2414196,"Drama, Romance"
0082592,"Horror, Thriller"
15260794,"Documentary, History"
10403420,Horror
2167266,"Adventure, Biography, Drama"
0087797,"Drama, Family, Fantasy"
0106364,"Animation, Action, Adventure"
10474134,"Drama, Thriller"
0417217,"Crime, Drama, Sport"
0185103,"Action, Sport"
2515034,"Action, Adventure, Crime"
0066849,Horror
1586752,"Action, Biography, Crime"
0095174,"Crime, Drama, Mystery"
0071110,"Action, Drama, Thriller"
0951335,"Horror, Thriller"
5535276,"Biography, Drama, Music"
0112606,Comedy
3839880,"Sci-Fi, Thriller"
0218388,Comedy
3808342,"Drama, War"
4976192,"Action, Crime, Drama"
5957584,"Crime, Drama"
14574156,"Crime, Drama, Thriller"
6364638,Romance
0414852,"Action, Crime, Sci-Fi"
0085933,"Drama, War"
2591814,"Animation, Drama, Romance"
6725014,Drama
8359610,Drama
13354188,"Crime, Drama"
0056059,"Action, Adventure, Comedy"
12483708,Sci-Fi
5448338,"Drama, Thriller"
8509238,Comedy
6795336,"Action, Adventure, Horror"
3136112,Drama
6148376,"Animation, Short, Action"
8674464,Action
15096942,Game-Show
0096563,"Action, Crime, Reality-TV"
0284770,Comedy
0109676,"Action, Adventure, Thriller"
0862846,"Comedy, Drama"
5460880,"Comedy, Drama"
15208950,"Drama, Mystery, Romance"
0498360,"Crime, Drama"
15496866,Reality-TV
1242422,"Action, Adventure, Crime"
1967614,"Comedy, Drama, Romance"
0379623,"Comedy, Talk-Show"
0045883,"Drama, Romance, War"
0059017,"Comedy, Romance, Western"
0064840,"Comedy, Drama, Romance"
0168501,"Comedy, Drama, Romance"
11080676,"Comedy, Drama"
14592064,"Comedy, Sport"
1424432,"Documentary, Biography, Sport"
8323120,Drama
5784958,"Documentary, Crime, Drama"
13776460,"Drama, Fantasy, History"
6494622,"Drama, Romance"
0117631,"Biography, Drama, Music"
10714778,"Adventure, Thriller"
0096673,Drama
0207156,Comedy
0366174,"Action, Adventure, Horror"
5968274,"Biography, Drama, Thriller"
11639062,"Animation, Short, Action"
10628092,Comedy
0083466,"Comedy, Crime"
8415836,"Horror, Mystery"
13570066,Action
0090098,Comedy
12801712,Drama
0335563,"Crime, Drama, Mystery"
0765458,"Comedy, Fantasy"
5351818,"Comedy, Drama, Family"
0076070,"Action, Crime, Thriller"
1024810,"Adventure, Drama, Mystery"
0235923,"Animation, Action, Adventure"
0022835,"Horror, Sci-Fi"
6550808,"Crime, Drama, Mystery"
0421384,"Action, Crime, Drama"
12847812,Drama
0106452,"Horror, Sci-Fi"
0094118,"Comedy, Fantasy"
10342914,"Horror, Thriller"
6807662,"Action, Adventure, Comedy"
0091188,"Comedy, Drama"
0381971,"Animation, Adventure, Comedy"
0106761,"Action, Adventure, Comedy"
0086355,"Biography, Drama"
0059245,"Biography, Drama, History"
14814006,"Comedy, Romance"
2669336,"Horror, Sci-Fi, Thriller"
5669272,Comedy
0089539,"Comedy, Crime, Mystery"
